DATE,CREACBW027SBOG
2004-06-02,998.5611
2004-06-09,999.1798
2004-06-16,1002.1251
2004-06-23,1003.1641
2004-06-30,1008.3992
2004-07-07,1008.205
2004-07-14,1011.5074
2004-07-21,1014.7972
2004-07-28,1015.8561
2004-08-04,1019.5592
2004-08-11,1022.6414
2004-08-18,1025.3517
2004-08-25,1028.3039
2004-09-01,1033.2342
2004-09-08,1033.5024
2004-09-15,1037.6379
2004-09-22,1040.8862
2004-09-29,1046.948
2004-10-06,1048.4159
2004-10-13,1050.5595
2004-10-20,1052.5542
2004-10-27,1055.0017
2004-11-03,1060.4623
2004-11-10,1063.2736
2004-11-17,1067.1574
2004-11-24,1069.6398
2004-12-01,1072.8376
2004-12-08,1074.7576
2004-12-15,1078.4854
2004-12-22,1081.6882
2004-12-29,1083.0955
2005-01-05,1088.2438
2005-01-12,1091.6705
2005-01-19,1095.6822
2005-01-26,1097.7292
2005-02-02,1100.1649
2005-02-09,1101.5921
2005-02-16,1106.2132
2005-02-23,1109.8371
2005-03-02,1113.0145
2005-03-09,1115.4147
2005-03-16,1117.246
2005-03-23,1120.3205
2005-03-30,1125.41
2005-04-06,1128.2797
2005-04-13,1128.1803
2005-04-20,1133.4933
2005-04-27,1139.2121
2005-05-04,1142.3828
2005-05-11,1146.2671
2005-05-18,1150.4644
2005-05-25,1152.7852
2005-06-01,1158.5775
2005-06-08,1161.1347
2005-06-15,1164.0697
2005-06-22,1168.6067
2005-06-29,1173.3659
2005-07-06,1176.1888
2005-07-13,1181.5854
2005-07-20,1186.4653
2005-07-27,1190.9122
2005-08-03,1194.2093
2005-08-10,1196.9689
2005-08-17,1201.3954
2005-08-24,1202.4121
2005-08-31,1206.1696
2005-09-07,1210.6025
2005-09-14,1217.5342
2005-09-21,1220.4881
2005-09-28,1224.4301
2005-10-05,1230.8968
2005-10-12,1234.6461
2005-10-19,1236.5717
2005-10-26,1240.5633
2005-11-02,1239.7264
2005-11-09,1245.4073
2005-11-16,1248.8723
2005-11-23,1253.8361
2005-11-30,1257.3809
2005-12-07,1264.0493
2005-12-14,1267.856
2005-12-21,1270.7699
2005-12-28,1275.6236
2006-01-04,1278.7939
2006-01-11,1283.5071
2006-01-18,1288.0385
2006-01-25,1291.2882
2006-02-01,1294.7884
2006-02-08,1297.57
2006-02-15,1302.7766
2006-02-22,1306.2516
2006-03-01,1312.5541
2006-03-08,1312.7407
2006-03-15,1316.2628
2006-03-22,1320.6317
2006-03-29,1325.2354
2006-04-05,1328.3599
2006-04-12,1334.0531
2006-04-19,1336.7317
2006-04-26,1340.1315
2006-05-03,1344.6092
2006-05-10,1349.014
2006-05-17,1353.2193
2006-05-24,1356.3285
2006-05-31,1359.7952
2006-06-07,1363.3985
2006-06-14,1365.3328
2006-06-21,1368.3416
2006-06-28,1372.5998
2006-07-05,1373.199
2006-07-12,1379.491
2006-07-19,1383.3489
2006-07-26,1385.0315
2006-08-02,1390.556
2006-08-09,1392.6615
2006-08-16,1396.9907
2006-08-23,1399.2133
2006-08-30,1400.728
2006-09-06,1404.4108
2006-09-13,1407.8479
2006-09-20,1412.4758
2006-09-27,1413.8398
2006-10-04,1428.9918
2006-10-11,1431.9493
2006-10-18,1435.5958
2006-10-25,1438.4536
2006-11-01,1441.7632
2006-11-08,1443.9387
2006-11-15,1446.7274
2006-11-22,1451.5089
2006-11-29,1452.1377
2006-12-06,1456.4163
2006-12-13,1456.7796
2006-12-20,1460.7174
2006-12-27,1460.5481
2007-01-03,1466.0316
2007-01-10,1466.3479
2007-01-17,1468.6198
2007-01-24,1471.1494
2007-01-31,1473.9632
2007-02-07,1473.7965
2007-02-14,1478.035
2007-02-21,1480.8202
2007-02-28,1481.8761
2007-03-07,1481.2783
2007-03-14,1483.6321
2007-03-21,1486.003
2007-03-28,1486.8665
2007-04-04,1491.6662
2007-04-11,1497.2469
2007-04-18,1499.3071
2007-04-25,1502.5065
2007-05-02,1503.1454
2007-05-09,1503.9348
2007-05-16,1507.8352
2007-05-23,1509.5579
2007-05-30,1513.0522
2007-06-06,1513.1338
2007-06-13,1516.4474
2007-06-20,1518.0155
2007-06-27,1520.8166
2007-07-04,1522.4243
2007-07-11,1525.0853
2007-07-18,1529.036
2007-07-25,1532.2715
2007-08-01,1533.9925
2007-08-08,1537.517
2007-08-15,1541.9598
2007-08-22,1543.1213
2007-08-29,1543.2685
2007-09-05,1548.885
2007-09-12,1550.1458
2007-09-19,1553.4471
2007-09-26,1554.8195
2007-10-03,1555.2986
2007-10-10,1561.1416
2007-10-17,1562.2646
2007-10-24,1567.5596
2007-10-31,1571.7219
2007-11-07,1573.9206
2007-11-14,1574.3394
2007-11-21,1576.671
2007-11-28,1577.3746
2007-12-05,1580.079
2007-12-12,1583.4912
2007-12-19,1587.3652
2007-12-26,1592.774
2008-01-02,1592.0529
2008-01-09,1594.2642
2008-01-16,1597.151
2008-01-23,1600.8471
2008-01-30,1606.0096
2008-02-06,1607.0965
2008-02-13,1611.216
2008-02-20,1614.9246
2008-02-27,1617.5207
2008-03-05,1621.4192
2008-03-12,1625.6943
2008-03-19,1627.5836
2008-03-26,1630.5847
2008-04-02,1630.3462
2008-04-09,1634.3493
2008-04-16,1637.7008
2008-04-23,1640.0592
2008-04-30,1641.4323
2008-05-07,1643.2281
2008-05-14,1642.4306
2008-05-21,1645.9842
2008-05-28,1648.6747
2008-06-04,1653.5568
2008-06-11,1655.3461
2008-06-18,1657.5111
2008-06-25,1658.1978
2008-07-02,1658.5858
2008-07-09,1660.9935
2008-07-16,1660.8468
2008-07-23,1663.5863
2008-07-30,1663.0493
2008-08-06,1664.682
2008-08-13,1664.6734
2008-08-20,1665.1299
2008-08-27,1667.5539
2008-09-03,1666.8499
2008-09-10,1665.9347
2008-09-17,1668.0589
2008-09-24,1667.4888
2008-10-01,1717.6217
2008-10-08,1718.7178
2008-10-15,1720.3782
2008-10-22,1723.0486
2008-10-29,1724.0733
2008-11-05,1725.061
2008-11-12,1726.139
2008-11-19,1725.6202
2008-11-26,1728.3164
2008-12-03,1729.2744
2008-12-10,1729.7696
2008-12-17,1730.5993
2008-12-24,1731.4744
2008-12-31,1722.0384
2009-01-07,1723.8446
2009-01-14,1722.9212
2009-01-21,1723.1269
2009-01-28,1723.5405
2009-02-04,1723.4147
2009-02-11,1723.243
2009-02-18,1723.3562
2009-02-25,1721.6502
2009-03-04,1721.3738
2009-03-11,1721.3077
2009-03-18,1722.3798
2009-03-25,1723.407
2009-04-01,1720.9083
2009-04-08,1720.2566
2009-04-15,1718.5597
2009-04-22,1716.8825
2009-04-29,1715.7748
2009-05-06,1716.2369
2009-05-13,1715.2333
2009-05-20,1715.3018
2009-05-27,1713.2626
2009-06-03,1710.7785
2009-06-10,1707.9587
2009-06-17,1706.6214
2009-06-24,1703.8047
2009-07-01,1700.2868
2009-07-08,1699.8216
2009-07-15,1697.4278
2009-07-22,1695.0056
2009-07-29,1693.9676
2009-08-05,1691.866
2009-08-12,1689.6397
2009-08-19,1687.9565
2009-08-26,1689.8669
2009-09-02,1684.8396
2009-09-09,1684.3695
2009-09-16,1679.6237
2009-09-23,1676.3569
2009-09-30,1675.2579
2009-10-07,1670.5292
2009-10-14,1668.8469
2009-10-21,1667.1585
2009-10-28,1664.201
2009-11-04,1664.5416
2009-11-11,1662.6665
2009-11-18,1659.0546
2009-11-25,1656.462
2009-12-02,1653.64
2009-12-09,1648.0927
2009-12-16,1642.2471
2009-12-23,1636.8102
2009-12-30,1634.4415
2010-01-06,1634.2788
2010-01-13,1632.1776
2010-01-20,1630.6617
2010-01-27,1627.7153
2010-02-03,1624.6239
2010-02-10,1624.0711
2010-02-17,1621.5006
2010-02-24,1619.2143
2010-03-03,1615.2045
2010-03-10,1613.5706
2010-03-17,1611.1828
2010-03-24,1606.4786
2010-03-31,1605.7327
2010-04-07,1603.3534
2010-04-14,1602.802
2010-04-21,1601.4331
2010-04-28,1597.4592
2010-05-05,1593.5542
2010-05-12,1590.6616
2010-05-19,1588.5371
2010-05-26,1585.6496
2010-06-02,1581.331
2010-06-09,1579.7077
2010-06-16,1576.0339
2010-06-23,1575.9906
2010-06-30,1569.7844
2010-07-07,1566.6756
2010-07-14,1564.9482
2010-07-21,1563.2875
2010-07-28,1560.283
2010-08-04,1558.2407
2010-08-11,1556.7603
2010-08-18,1554.4605
2010-08-25,1553.1714
2010-09-01,1549.1686
2010-09-08,1547.1396
2010-09-15,1543.0736
2010-09-22,1540.2743
2010-09-29,1535.7918
2010-10-06,1532.6479
2010-10-13,1530.8306
2010-10-20,1528.6022
2010-10-27,1523.6898
2010-11-03,1521.8793
2010-11-10,1519.0876
2010-11-17,1516.8493
2010-11-24,1513.0218
2010-12-01,1507.1852
2010-12-08,1504.2654
2010-12-15,1502.9413
2010-12-22,1498.2872
2010-12-29,1498.0742
2011-01-05,1492.6182
2011-01-12,1494.4854
2011-01-19,1493.1373
2011-01-26,1490.82
2011-02-02,1487.6881
2011-02-09,1485.4025
2011-02-16,1483.3131
2011-02-23,1482.7042
2011-03-02,1479.0648
2011-03-09,1478.0932
2011-03-16,1474.6271
2011-03-23,1472.0032
2011-03-30,1468.5173
2011-04-06,1466.271
2011-04-13,1465.4596
2011-04-20,1466.9408
2011-04-27,1465.5343
2011-05-04,1463.4323
2011-05-11,1460.9854
2011-05-18,1460.2461
2011-05-25,1458.8329
2011-06-01,1458.1209
2011-06-08,1456.6163
2011-06-15,1454.3497
2011-06-22,1452.8898
2011-06-29,1449.8331
2011-07-06,1449.4872
2011-07-13,1446.6824
2011-07-20,1445.03
2011-07-27,1442.6489
2011-08-03,1440.2628
2011-08-10,1437.7405
2011-08-17,1436.4161
2011-08-24,1436.0461
2011-08-31,1436.4724
2011-09-07,1434.8313
2011-09-14,1432.8203
2011-09-21,1432.5496
2011-09-28,1431.1128
2011-10-05,1428.3703
2011-10-12,1427.0377
2011-10-19,1425.0313
2011-10-26,1425.2431
2011-11-02,1425.1069
2011-11-09,1425.9618
2011-11-16,1424.5909
2011-11-23,1422.3425
2011-11-30,1421.5862
2011-12-07,1420.4987
2011-12-14,1418.9733
2011-12-21,1417.5395
2011-12-28,1417.0452
2012-01-04,1417.2819
2012-01-11,1416.2042
2012-01-18,1415.7241
2012-01-25,1415.0999
2012-02-01,1432.8055
2012-02-08,1430.4546
2012-02-15,1429.1412
2012-02-22,1429.3777
2012-02-29,1430.1452
